sample,channel,normalized,loss_type,loss_value
22,mean_sea_level_pressure,denormalized,MSE,21534.52734375
23,10m_u_component_of_wind,denormalized,MSE,0.5044835209846497
23,10m_v_component_of_wind,denormalized,MSE,0.52796471118927
23,2m_temperature,denormalized,MSE,20.075305938720703
23,mean_sea_level_pressure,denormalized,MSE,11492.953125
24,10m_u_component_of_wind,denormalized,MSE,0.4342512786388397
24,10m_v_component_of_wind,denormalized,MSE,0.6168774962425232
24,2m_temperature,denormalized,MSE,19.507707595825195
24,mean_sea_level_pressure,denormalized,MSE,13320.4482421875
25,10m_u_component_of_wind,denormalized,MSE,0.4164223372936249
25,10m_v_component_of_wind,denormalized,MSE,0.5149655342102051
25,2m_temperature,denormalized,MSE,4.5548882484436035
25,mean_sea_level_pressure,denormalized,MSE,22789.56640625
26,10m_u_component_of_wind,denormalized,MSE,0.37433162331581116
26,10m_v_component_of_wind,denormalized,MSE,0.4962751269340515
26,2m_temperature,denormalized,MSE,7.606570720672607
26,mean_sea_level_pressure,denormalized,MSE,11627.12890625
27,10m_u_component_of_wind,denormalized,MSE,0.4000564217567444
27,10m_v_component_of_wind,denormalized,MSE,0.4745728373527527
27,2m_temperature,denormalized,MSE,12.293488502502441
27,mean_sea_level_pressure,denormalized,MSE,55533.59375
28,10m_u_component_of_wind,denormalized,MSE,0.488411009311676
28,10m_v_component_of_wind,denormalized,MSE,0.5688925981521606
28,2m_temperature,denormalized,MSE,20.2744140625
28,mean_sea_level_pressure,denormalized,MSE,77822.3828125
29,10m_u_component_of_wind,denormalized,MSE,0.44883882999420166
29,10m_v_component_of_wind,denormalized,MSE,0.44516855478286743
29,2m_temperature,denormalized,MSE,15.023049354553223
29,mean_sea_level_pressure,denormalized,MSE,176351.21875
30,10m_u_component_of_wind,denormalized,MSE,0.5653452277183533
30,10m_v_component_of_wind,denormalized,MSE,0.6371603012084961
30,2m_temperature,denormalized,MSE,32.77561950683594
30,mean_sea_level_pressure,denormalized,MSE,408652.25
31,10m_u_component_of_wind,denormalized,MSE,0.6559838652610779
31,10m_v_component_of_wind,denormalized,MSE,0.6844027042388916
31,2m_temperature,denormalized,MSE,32.47813034057617
31,mean_sea_level_pressure,denormalized,MSE,533889.875
32,10m_u_component_of_wind,denormalized,MSE,0.4760065972805023
32,10m_v_component_of_wind,denormalized,MSE,0.5197717547416687
32,2m_temperature,denormalized,MSE,22.466888427734375
32,mean_sea_level_pressure,denormalized,MSE,774536.375
33,10m_u_component_of_wind,denormalized,MSE,0.5013383626937866
33,10m_v_component_of_wind,denormalized,MSE,0.6596618890762329
33,2m_temperature,denormalized,MSE,31.311729431152344
33,mean_sea_level_pressure,denormalized,MSE,586226.25
34,10m_u_component_of_wind,denormalized,MSE,0.48928600549697876
34,10m_v_component_of_wind,denormalized,MSE,0.7320882678031921
34,2m_temperature,denormalized,MSE,52.02183151245117
34,mean_sea_level_pressure,denormalized,MSE,753982.0
35,10m_u_component_of_wind,denormalized,MSE,0.5372657775878906
35,10m_v_component_of_wind,denormalized,MSE,0.7453747987747192
35,2m_temperature,denormalized,MSE,59.461238861083984
35,mean_sea_level_pressure,denormalized,MSE,731704.5625
36,10m_u_component_of_wind,denormalized,MSE,0.39664536714553833
36,10m_v_component_of_wind,denormalized,MSE,0.5659447312355042
36,2m_temperature,denormalized,MSE,40.57935333251953
36,mean_sea_level_pressure,denormalized,MSE,728565.875
37,10m_u_component_of_wind,denormalized,MSE,0.4612240493297577
37,10m_v_component_of_wind,denormalized,MSE,0.5869542360305786
37,2m_temperature,denormalized,MSE,26.398164749145508
37,mean_sea_level_pressure,denormalized,MSE,460050.21875
38,10m_u_component_of_wind,denormalized,MSE,0.533377468585968
38,10m_v_component_of_wind,denormalized,MSE,0.72020423412323
38,2m_temperature,denormalized,MSE,40.17714309692383
38,mean_sea_level_pressure,denormalized,MSE,600808.25
39,10m_u_component_of_wind,denormalized,MSE,0.5472069978713989
39,10m_v_component_of_wind,denormalized,MSE,0.6899625062942505
39,2m_temperature,denormalized,MSE,47.421791076660156
39,mean_sea_level_pressure,denormalized,MSE,648320.5
40,10m_u_component_of_wind,denormalized,MSE,0.5152527093887329
40,10m_v_component_of_wind,denormalized,MSE,0.6457321643829346
40,2m_temperature,denormalized,MSE,28.8128604888916
40,mean_sea_level_pressure,denormalized,MSE,724488.75
41,10m_u_component_of_wind,denormalized,MSE,0.47179704904556274
41,10m_v_component_of_wind,denormalized,MSE,0.628228485584259
41,2m_temperature,denormalized,MSE,37.61534118652344
41,mean_sea_level_pressure,denormalized,MSE,666478.75
42,10m_u_component_of_wind,denormalized,MSE,0.6065337657928467
42,10m_v_component_of_wind,denormalized,MSE,0.826246976852417
42,2m_temperature,denormalized,MSE,46.993125915527344
42,mean_sea_level_pressure,denormalized,MSE,740101.125
43,10m_u_component_of_wind,denormalized,MSE,0.6473331451416016
43,10m_v_component_of_wind,denormalized,MSE,0.7956151962280273
43,2m_temperature,denormalized,MSE,49.18325424194336
43,mean_sea_level_pressure,denormalized,MSE,712059.0625
44,10m_u_component_of_wind,denormalized,MSE,0.4827481806278229
44,10m_v_component_of_wind,denormalized,MSE,0.637924313545227
44,2m_temperature,denormalized,MSE,25.62355613708496
44,mean_sea_level_pressure,denormalized,MSE,656249.0
45,10m_u_component_of_wind,denormalized,MSE,0.4497033357620239
