sample,channel,normalized,mse_loss,psd_loss
0,10m_u_component_of_wind,denormalized,4.8255414962768555,1.722312331199646
0,10m_v_component_of_wind,denormalized,3.0740742683410645,1.7692406177520752
0,2m_temperature,denormalized,248.39451599121094,1.7848116159439087
0,mean_sea_level_pressure,denormalized,612732.25,1.755132794380188
1,10m_u_component_of_wind,denormalized,9.339139938354492,1.8057730197906494
1,10m_v_component_of_wind,denormalized,5.464201927185059,1.8620280027389526
1,2m_temperature,denormalized,179.29295349121094,1.7974025011062622
1,mean_sea_level_pressure,denormalized,980788.125,1.889557123184204
2,10m_u_component_of_wind,denormalized,9.246204376220703,1.7797558307647705
2,10m_v_component_of_wind,denormalized,6.572416305541992,1.835694670677185
2,2m_temperature,denormalized,187.7943115234375,1.8131520748138428
2,mean_sea_level_pressure,denormalized,2623393.0,1.9829983711242676
3,10m_u_component_of_wind,denormalized,3.935746192932129,1.7502473592758179
3,10m_v_component_of_wind,denormalized,2.935281753540039,1.8061375617980957
3,2m_temperature,denormalized,65.1024398803711,1.7616755962371826
3,mean_sea_level_pressure,denormalized,348181.25,1.8254493474960327
4,10m_u_component_of_wind,denormalized,6.600234508514404,1.7642709016799927
4,10m_v_component_of_wind,denormalized,4.255176544189453,1.7961170673370361
4,2m_temperature,denormalized,42.511295318603516,1.7851171493530273
4,mean_sea_level_pressure,denormalized,482192.46875,1.861610770225525
5,10m_u_component_of_wind,denormalized,5.1631293296813965,1.7824374437332153
5,10m_v_component_of_wind,denormalized,5.39987850189209,1.8877722024917603
5,2m_temperature,denormalized,199.38873291015625,1.808737874031067
5,mean_sea_level_pressure,denormalized,428263.8125,1.9565526247024536
6,10m_u_component_of_wind,denormalized,6.132203102111816,1.7234052419662476
6,10m_v_component_of_wind,denormalized,4.021299362182617,1.7740505933761597
6,2m_temperature,denormalized,84.61189270019531,1.7705544233322144
6,mean_sea_level_pressure,denormalized,620127.3125,1.960690975189209
7,10m_u_component_of_wind,denormalized,1.2060794830322266,1.6830638647079468
7,10m_v_component_of_wind,denormalized,1.7562952041625977,1.7905983924865723
7,2m_temperature,denormalized,13.776632308959961,1.74724543094635
7,mean_sea_level_pressure,denormalized,73971.203125,1.7449160814285278
8,10m_u_component_of_wind,denormalized,1.7309691905975342,1.7007685899734497
8,10m_v_component_of_wind,denormalized,2.0956311225891113,1.8382587432861328
8,2m_temperature,denormalized,39.390724182128906,1.7384076118469238
8,mean_sea_level_pressure,denormalized,354412.53125,1.80314040184021
9,10m_u_component_of_wind,denormalized,3.0928478240966797,1.76922607421875
9,10m_v_component_of_wind,denormalized,3.8762590885162354,1.885591745376587
9,2m_temperature,denormalized,458.5319519042969,1.766891598701477
9,mean_sea_level_pressure,denormalized,629262.25,1.9180134534835815
10,10m_u_component_of_wind,denormalized,3.772502899169922,1.7102535963058472
10,10m_v_component_of_wind,denormalized,6.159685134887695,1.7858695983886719
10,2m_temperature,denormalized,184.47515869140625,1.7204817533493042
10,mean_sea_level_pressure,denormalized,537129.625,1.9330557584762573
11,10m_u_component_of_wind,denormalized,3.362065315246582,1.7410303354263306
11,10m_v_component_of_wind,denormalized,5.325465202331543,1.8532216548919678
11,2m_temperature,denormalized,82.68040466308594,1.6966381072998047
11,mean_sea_level_pressure,denormalized,499507.4375,1.7934424877166748
12,10m_u_component_of_wind,denormalized,5.680037498474121,1.7557663917541504
12,10m_v_component_of_wind,denormalized,5.74312686920166,1.8425582647323608
12,2m_temperature,denormalized,88.93905639648438,1.7449756860733032
12,mean_sea_level_pressure,denormalized,326077.59375,1.822676181793213
13,10m_u_component_of_wind,denormalized,2.280857563018799,1.6655335426330566
13,10m_v_component_of_wind,denormalized,2.9768083095550537,1.758012056350708
13,2m_temperature,denormalized,17.992042541503906,1.6722438335418701
13,mean_sea_level_pressure,denormalized,100724.859375,1.7610805034637451
14,10m_u_component_of_wind,denormalized,5.084689617156982,1.7570512294769287
14,10m_v_component_of_wind,denormalized,6.949703216552734,1.7965022325515747
14,2m_temperature,denormalized,131.8181610107422,1.7777929306030273
14,mean_sea_level_pressure,denormalized,231261.28125,1.7731744050979614
15,10m_u_component_of_wind,denormalized,4.1882429122924805,1.7187520265579224
15,10m_v_component_of_wind,denormalized,6.085677146911621,1.8157463073730469
15,2m_temperature,denormalized,54.08836364746094,1.7868415117263794
15,mean_sea_level_pressure,denormalized,272854.5625,1.811558485031128
16,10m_u_component_of_wind,denormalized,1.3267282247543335,1.6497784852981567
16,10m_v_component_of_wind,denormalized,1.6567100286483765,1.72287917137146
16,2m_temperature,denormalized,51.243072509765625,1.6712501049041748
16,mean_sea_level_pressure,denormalized,243844.875,1.693435788154602
17,10m_u_component_of_wind,denormalized,3.5097873210906982,1.6796884536743164
17,10m_v_component_of_wind,denormalized,4.222873687744141,1.7423741817474365
17,2m_temperature,denormalized,40.66012954711914,1.654137372970581
17,mean_sea_level_pressure,denormalized,159916.15625,1.7446355819702148
18,10m_u_component_of_wind,denormalized,8.535438537597656,1.7441024780273438
18,10m_v_component_of_wind,denormalized,6.570300102233887,1.7754673957824707
18,2m_temperature,denormalized,101.75613403320312,1.8009763956069946
18,mean_sea_level_pressure,denormalized,273288.90625,1.7981762886047363
19,10m_u_component_of_wind,denormalized,5.252740859985352,1.6970674991607666
19,10m_v_component_of_wind,denormalized,5.101208686828613,1.7613462209701538
19,2m_temperature,denormalized,432.82623291015625,1.6478118896484375
19,mean_sea_level_pressure,denormalized,325411.25,1.6919207572937012
20,10m_u_component_of_wind,denormalized,3.963583469390869,1.6696242094039917
20,10m_v_component_of_wind,denormalized,4.020080089569092,1.730964183807373
20,2m_temperature,denormalized,21.188026428222656,1.6387437582015991
20,mean_sea_level_pressure,denormalized,80980.65625,1.6777323484420776
21,10m_u_component_of_wind,denormalized,8.569933891296387,1.718546748161316
21,10m_v_component_of_wind,denormalized,7.861867427825928,1.7702573537826538
