sample,channel,normalized,loss_type,loss_value
23,2m_temperature,denormalized,MSE,26.759654998779297
23,mean_sea_level_pressure,denormalized,MSE,194125.8125
24,10m_u_component_of_wind,denormalized,MSE,0.6494274139404297
24,10m_v_component_of_wind,denormalized,MSE,0.6769194006919861
24,2m_temperature,denormalized,MSE,75.99739074707031
24,mean_sea_level_pressure,denormalized,MSE,147442.65625
25,10m_u_component_of_wind,denormalized,MSE,0.5344074964523315
25,10m_v_component_of_wind,denormalized,MSE,0.7934568524360657
25,2m_temperature,denormalized,MSE,64.14892578125
25,mean_sea_level_pressure,denormalized,MSE,179369.1875
26,10m_u_component_of_wind,denormalized,MSE,0.6333720684051514
26,10m_v_component_of_wind,denormalized,MSE,0.9652710556983948
26,2m_temperature,denormalized,MSE,79.57008361816406
26,mean_sea_level_pressure,denormalized,MSE,124100.6875
27,10m_u_component_of_wind,denormalized,MSE,0.7665452361106873
27,10m_v_component_of_wind,denormalized,MSE,0.8423523902893066
27,2m_temperature,denormalized,MSE,129.81991577148438
27,mean_sea_level_pressure,denormalized,MSE,304034.875
28,10m_u_component_of_wind,denormalized,MSE,0.8802680969238281
28,10m_v_component_of_wind,denormalized,MSE,1.3010931015014648
28,2m_temperature,denormalized,MSE,200.21078491210938
28,mean_sea_level_pressure,denormalized,MSE,311226.875
29,10m_u_component_of_wind,denormalized,MSE,0.9708805084228516
29,10m_v_component_of_wind,denormalized,MSE,1.176044225692749
29,2m_temperature,denormalized,MSE,211.59852600097656
29,mean_sea_level_pressure,denormalized,MSE,723852.375
30,10m_u_component_of_wind,denormalized,MSE,1.1762620210647583
30,10m_v_component_of_wind,denormalized,MSE,1.4190658330917358
30,2m_temperature,denormalized,MSE,259.0633544921875
30,mean_sea_level_pressure,denormalized,MSE,916146.5
31,10m_u_component_of_wind,denormalized,MSE,1.739546537399292
31,10m_v_component_of_wind,denormalized,MSE,2.267054319381714
31,2m_temperature,denormalized,MSE,310.42706298828125
31,mean_sea_level_pressure,denormalized,MSE,751848.375
32,10m_u_component_of_wind,denormalized,MSE,1.1025868654251099
32,10m_v_component_of_wind,denormalized,MSE,1.9676480293273926
32,2m_temperature,denormalized,MSE,277.03326416015625
32,mean_sea_level_pressure,denormalized,MSE,1103676.25
33,10m_u_component_of_wind,denormalized,MSE,0.9741842150688171
33,10m_v_component_of_wind,denormalized,MSE,1.4907326698303223
33,2m_temperature,denormalized,MSE,257.63580322265625
33,mean_sea_level_pressure,denormalized,MSE,1005990.625
34,10m_u_component_of_wind,denormalized,MSE,1.9596118927001953
34,10m_v_component_of_wind,denormalized,MSE,2.6176652908325195
34,2m_temperature,denormalized,MSE,266.09088134765625
34,mean_sea_level_pressure,denormalized,MSE,941440.9375
35,10m_u_component_of_wind,denormalized,MSE,1.8134400844573975
35,10m_v_component_of_wind,denormalized,MSE,2.7496070861816406
35,2m_temperature,denormalized,MSE,271.2106018066406
35,mean_sea_level_pressure,denormalized,MSE,788203.5
36,10m_u_component_of_wind,denormalized,MSE,0.7910823822021484
36,10m_v_component_of_wind,denormalized,MSE,1.4447669982910156
36,2m_temperature,denormalized,MSE,192.16542053222656
36,mean_sea_level_pressure,denormalized,MSE,1543805.875
37,10m_u_component_of_wind,denormalized,MSE,0.7333108186721802
37,10m_v_component_of_wind,denormalized,MSE,1.2012717723846436
37,2m_temperature,denormalized,MSE,167.48939514160156
37,mean_sea_level_pressure,denormalized,MSE,1379000.25
38,10m_u_component_of_wind,denormalized,MSE,1.1065500974655151
38,10m_v_component_of_wind,denormalized,MSE,1.8275651931762695
38,2m_temperature,denormalized,MSE,196.60044860839844
38,mean_sea_level_pressure,denormalized,MSE,1340069.625
39,10m_u_component_of_wind,denormalized,MSE,1.0048880577087402
39,10m_v_component_of_wind,denormalized,MSE,1.8668797016143799
39,2m_temperature,denormalized,MSE,219.87515258789062
39,mean_sea_level_pressure,denormalized,MSE,1131445.5
40,10m_u_component_of_wind,denormalized,MSE,0.6881802678108215
40,10m_v_component_of_wind,denormalized,MSE,1.9246487617492676
40,2m_temperature,denormalized,MSE,155.7373046875
40,mean_sea_level_pressure,denormalized,MSE,1632715.75
41,10m_u_component_of_wind,denormalized,MSE,0.7821576595306396
41,10m_v_component_of_wind,denormalized,MSE,1.6779966354370117
41,2m_temperature,denormalized,MSE,169.36398315429688
41,mean_sea_level_pressure,denormalized,MSE,1433709.5
42,10m_u_component_of_wind,denormalized,MSE,1.207430362701416
42,10m_v_component_of_wind,denormalized,MSE,1.9530699253082275
42,2m_temperature,denormalized,MSE,201.21922302246094
42,mean_sea_level_pressure,denormalized,MSE,1364309.25
43,10m_u_component_of_wind,denormalized,MSE,1.4941179752349854
43,10m_v_component_of_wind,denormalized,MSE,2.453526735305786
43,2m_temperature,denormalized,MSE,236.9468994140625
43,mean_sea_level_pressure,denormalized,MSE,1233409.375
44,10m_u_component_of_wind,denormalized,MSE,0.8705949783325195
44,10m_v_component_of_wind,denormalized,MSE,1.2953948974609375
44,2m_temperature,denormalized,MSE,152.3173828125
44,mean_sea_level_pressure,denormalized,MSE,1987337.375
45,10m_u_component_of_wind,denormalized,MSE,0.5662069320678711
45,10m_v_component_of_wind,denormalized,MSE,0.9602764844894409
45,2m_temperature,denormalized,MSE,134.27890014648438
45,mean_sea_level_pressure,denormalized,MSE,1331531.0
46,10m_u_component_of_wind,denormalized,MSE,0.8416067361831665
46,10m_v_component_of_wind,denormalized,MSE,1.1956133842468262
46,2m_temperature,denormalized,MSE,174.0526123046875
46,mean_sea_level_pressure,denormalized,MSE,1140352.25
47,10m_u_component_of_wind,denormalized,MSE,0.9074466228485107
47,10m_v_component_of_wind,denormalized,MSE,1.0810801982879639
47,2m_temperature,denormalized,MSE,171.34451293945312
47,mean_sea_level_pressure,denormalized,MSE,571488.5
48,10m_u_component_of_wind,denormalized,MSE,0.5244922637939453
48,10m_v_component_of_wind,denormalized,MSE,0.6384950876235962
48,2m_temperature,denormalized,MSE,84.99331665039062
48,mean_sea_level_pressure,denormalized,MSE,535077.875
49,10m_u_component_of_wind,denormalized,MSE,0.5697659254074097
49,10m_v_component_of_wind,denormalized,MSE,0.6673640012741089
49,2m_temperature,denormalized,MSE,53.35969924926758
49,mean_sea_level_pressure,denormalized,MSE,116255.875
50,10m_u_component_of_wind,denormalized,MSE,0.9257466793060303
50,10m_v_component_of_wind,denormalized,MSE,0.6246271133422852
50,2m_temperature,denormalized,MSE,83.46078491210938
50,mean_sea_level_pressure,denormalized,MSE,147921.0625
51,10m_u_component_of_wind,denormalized,MSE,1.2270370721817017
51,10m_v_component_of_wind,denormalized,MSE,0.7657500505447388
51,2m_temperature,denormalized,MSE,112.34629821777344
