sample,channel,normalized,loss_type,loss_value
26,10m_v_component_of_wind,denormalized,MSE,0.46849387884140015
26,2m_temperature,denormalized,MSE,4.142394065856934
26,mean_sea_level_pressure,denormalized,MSE,6399.935546875
27,10m_u_component_of_wind,denormalized,MSE,0.3189198076725006
27,10m_v_component_of_wind,denormalized,MSE,0.4225654602050781
27,2m_temperature,denormalized,MSE,3.9398279190063477
27,mean_sea_level_pressure,denormalized,MSE,6609.1201171875
28,10m_u_component_of_wind,denormalized,MSE,0.3332434594631195
28,10m_v_component_of_wind,denormalized,MSE,0.5291909575462341
28,2m_temperature,denormalized,MSE,4.529735565185547
28,mean_sea_level_pressure,denormalized,MSE,7401.515625
29,10m_u_component_of_wind,denormalized,MSE,0.31433743238449097
29,10m_v_component_of_wind,denormalized,MSE,0.4896093010902405
29,2m_temperature,denormalized,MSE,3.609999418258667
29,mean_sea_level_pressure,denormalized,MSE,9602.95703125
30,10m_u_component_of_wind,denormalized,MSE,0.2979958653450012
30,10m_v_component_of_wind,denormalized,MSE,0.46243423223495483
30,2m_temperature,denormalized,MSE,4.300788879394531
30,mean_sea_level_pressure,denormalized,MSE,8918.974609375
31,10m_u_component_of_wind,denormalized,MSE,0.3294546604156494
31,10m_v_component_of_wind,denormalized,MSE,0.5475081205368042
31,2m_temperature,denormalized,MSE,5.272136688232422
31,mean_sea_level_pressure,denormalized,MSE,10724.8564453125
32,10m_u_component_of_wind,denormalized,MSE,0.28000015020370483
32,10m_v_component_of_wind,denormalized,MSE,0.4818249046802521
32,2m_temperature,denormalized,MSE,4.671966075897217
32,mean_sea_level_pressure,denormalized,MSE,11847.42578125
33,10m_u_component_of_wind,denormalized,MSE,0.2982499599456787
33,10m_v_component_of_wind,denormalized,MSE,0.5045614242553711
33,2m_temperature,denormalized,MSE,4.580691814422607
33,mean_sea_level_pressure,denormalized,MSE,9683.861328125
34,10m_u_component_of_wind,denormalized,MSE,0.3148612976074219
34,10m_v_component_of_wind,denormalized,MSE,0.5032281279563904
34,2m_temperature,denormalized,MSE,5.365138053894043
34,mean_sea_level_pressure,denormalized,MSE,7472.6142578125
35,10m_u_component_of_wind,denormalized,MSE,0.321500301361084
35,10m_v_component_of_wind,denormalized,MSE,0.5741850137710571
35,2m_temperature,denormalized,MSE,5.6943864822387695
35,mean_sea_level_pressure,denormalized,MSE,9938.96875
36,10m_u_component_of_wind,denormalized,MSE,0.2386462390422821
36,10m_v_component_of_wind,denormalized,MSE,0.38881438970565796
36,2m_temperature,denormalized,MSE,5.748281478881836
36,mean_sea_level_pressure,denormalized,MSE,10942.796875
37,10m_u_component_of_wind,denormalized,MSE,0.2890668511390686
37,10m_v_component_of_wind,denormalized,MSE,0.45117542147636414
37,2m_temperature,denormalized,MSE,4.721702575683594
37,mean_sea_level_pressure,denormalized,MSE,7271.115234375
38,10m_u_component_of_wind,denormalized,MSE,0.3547739088535309
38,10m_v_component_of_wind,denormalized,MSE,0.5233542919158936
38,2m_temperature,denormalized,MSE,5.1531877517700195
38,mean_sea_level_pressure,denormalized,MSE,9174.916015625
39,10m_u_component_of_wind,denormalized,MSE,0.3832041025161743
39,10m_v_component_of_wind,denormalized,MSE,0.556013822555542
39,2m_temperature,denormalized,MSE,5.214857578277588
39,mean_sea_level_pressure,denormalized,MSE,11814.49609375
40,10m_u_component_of_wind,denormalized,MSE,0.28579121828079224
40,10m_v_component_of_wind,denormalized,MSE,0.4656371474266052
40,2m_temperature,denormalized,MSE,3.878051280975342
40,mean_sea_level_pressure,denormalized,MSE,14846.806640625
41,10m_u_component_of_wind,denormalized,MSE,0.33928605914115906
41,10m_v_component_of_wind,denormalized,MSE,0.5052418112754822
